Bug ID,Test Case ID,Date Reported,Module / Component,Summary / Title,Description / Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Assigned To,Remarks / Notes,Status,Date Fixed ,QC Status by BBT
Bug001,ING1,1/14/2026,Innovatetech - Mob Website hero section,Background Video Render issue,-,"On iOS devices, the background video should render correctly and be visible as intended.","When accessing https://www.innovatetech.io 
on iOS devices, the background video does not render.",High,High,Frontend,,FIxed,1/14/2026,TRUE
Bug002,ING2,1/14/2026,Innovatetech - Reload issue,Render issue after reloading,-,"When the page is reloaded from any position (including the middle of the Home, Ecosystem, or IT Products pages), the user should be able to scroll immediately without waiting for the top-section video animation to finish rendering.","When the page is reloaded from the middle of the Home, Ecosystem, or IT Products sections, scrolling is disabled until the video animation in the top section finishes rendering.",High,High,Frontend,,FIxed,1/14/2026,TRUE
Bug003,ING3,1/14/2026,Innovatetech - Mob website- contact us page,BG video and Content Disappearance,-,"The Hero Section should display the background video and all associated content correctly on page load, both on desktop and mobile devices.","The Hero Section is missing both the background video and the content, leaving the section blank.",High,High,Frontend,,FIxed,1/14/2026,TRUE
Bug004,ING4,1/14/2026,Innovatetech - Mob Website - Youtube Video,Empty Video Place Holder,-,"The video placeholder should display the correct preview/thumbnail along with the play button, not appear empty.","The video placeholder appears empty, although the play button is visible and works as expected.
1. Home page
2. ING ecosystem",Medium,Medium,Frontend,,FIxed,1/14/2026,TRUE
Bug005,ING5,1/14/2026,Innovatetech - Mob Webiste - navigation,Expose contents in Our Services,-,Content from the Our Services section should remain properly contained within its section and should not overlap or appear in the navigation bar.,Contents within Our Services are being exposed on the navigation bar,Low,Low,Frontend,,FIxed,1/14/2026,TRUE
Bug006,ING6,1/14/2026,Innovatetech - OG Image,OG Image displayed incorrrectly ,-,"When the website link is shared, the correct Open Graph (OG) image, title, and description should appear consistently across platforms.","When the website link is shared, the Open Graph (OG) image does not appear correctly.",Medium,Medium,Frontend,The provided OG image is same so no fix needed,As it is,1/14/2026,TRUE
